Player,Date,Ranking Points
Roger Federer,2009/08/17,11040
Roger Federer,2009/08/10,11060
Roger Federer,2009/08/03,11060
Roger Federer,2009/07/27,11210
Roger Federer,2009/07/20,11220
Roger Federer,2009/07/13,11220
Roger Federer,2009/07/06,11220
Roger Federer,2009/06/22,10620
Roger Federer,2009/06/15,10620
Roger Federer,2009/06/08,11070
Roger Federer,2009/05/25,10470
Roger Federer,2009/05/18,10470
Roger Federer,2009/05/11,10170
Roger Federer,2009/05/04,10420
Roger Federer,2009/04/27,10060
Roger Federer,2009/04/20,10760
Roger Federer,2009/04/13,11020
Roger Federer,2009/04/06,11020
Roger Federer,2009/03/23,10910
Roger Federer,2009/03/09,11000
Roger Federer,2009/03/02,11000
Roger Federer,2009/02/23,11000
Roger Federer,2009/02/16,11000
Roger Federer,2009/02/09,11000
Roger Federer,2009/02/02,11000
Roger Federer,2009/01/19,10700
Roger Federer,2009/01/12,10700
Roger Federer,2009/01/05,10610
Roger Federer,2008/12/29,5305
Roger Federer,2008/12/22,5305
Roger Federer,2008/12/15,5305
Roger Federer,2008/12/08,5305
Roger Federer,2008/12/01,5305
Roger Federer,2008/11/24,5305
Roger Federer,2008/11/17,5305
Roger Federer,2008/11/10,5205
Roger Federer,2008/11/03,5205
Roger Federer,2008/10/27,5805
Roger Federer,2008/10/20,5805
Roger Federer,2008/10/13,5930
Roger Federer,2008/10/06,5930
Roger Federer,2008/09/29,5930
Roger Federer,2008/09/22,5930
Roger Federer,2008/09/15,5930
Roger Federer,2008/09/08,5930
Roger Federer,2008/08/25,5930
Roger Federer,2008/08/18,5930
Roger Federer,2008/08/11,6330
Roger Federer,2008/08/04,6680
Roger Federer,2008/07/28,6605
Roger Federer,2008/07/21,6600
Roger Federer,2008/07/14,6600
Roger Federer,2008/07/07,6600
Roger Federer,2008/06/23,6900
Roger Federer,2008/06/16,6900
Roger Federer,2008/06/09,6675
Roger Federer,2008/05/26,6675
Roger Federer,2008/05/19,6675
Roger Federer,2008/05/12,6825
Roger Federer,2008/05/05,6775
Roger Federer,2008/04/28,6775
Roger Federer,2008/04/21,6425
Roger Federer,2008/04/14,6600
Roger Federer,2008/04/07,6600
Roger Federer,2008/03/24,6550
Roger Federer,2008/03/10,6330
Roger Federer,2008/03/03,6330
Roger Federer,2008/02/25,6630
Roger Federer,2008/02/18,6630
Roger Federer,2008/02/11,6630
Roger Federer,2008/02/04,6630
Roger Federer,2008/01/28,6630
Roger Federer,2008/01/14,7180
Roger Federer,2008/01/07,7180
Roger Federer,2007/12/31,7180
Roger Federer,2007/12/24,7180
Roger Federer,2007/12/17,7180
Roger Federer,2007/12/10,7180
Roger Federer,2007/12/03,7180
Roger Federer,2007/11/26,7180
Roger Federer,2007/11/19,7180
Roger Federer,2007/11/12,6530
Roger Federer,2007/11/05,6530
Roger Federer,2007/10/29,7205
Roger Federer,2007/10/22,7205
Roger Federer,2007/10/15,7355
Roger Federer,2007/10/08,7355
Roger Federer,2007/10/01,7605
Roger Federer,2007/09/24,7605
Roger Federer,2007/09/17,7605
Roger Federer,2007/09/10,7605
Roger Federer,2007/08/27,7605
Roger Federer,2007/08/20,7605
Roger Federer,2007/08/13,7140
Roger Federer,2007/08/06,7290
Roger Federer,2007/07/30,7290
Roger Federer,2007/07/23,7290
Roger Federer,2007/07/16,7290
Roger Federer,2007/07/09,7290
Roger Federer,2007/06/25,7290
Roger Federer,2007/06/18,7290
Roger Federer,2007/06/11,7515
Roger Federer,2007/05/28,7515
Roger Federer,2007/05/21,7515
Roger Federer,2007/05/14,7015
Roger Federer,2007/05/07,7290
Roger Federer,2007/04/30,7290
Roger Federer,2007/04/23,7290
Roger Federer,2007/04/16,7290
Roger Federer,2007/04/09,7290
Roger Federer,2007/04/02,7290
Roger Federer,2007/03/19,7715
Roger Federer,2007/03/05,8210
Roger Federer,2007/02/26,8120
Roger Federer,2007/02/19,8120
Roger Federer,2007/02/12,8120
Roger Federer,2007/02/05,8120
Roger Federer,2007/01/29,8120
Roger Federer,2007/01/15,8120
Roger Federer,2007/01/08,8120
Roger Federer,2007/01/01,8370
Roger Federer,2006/12/18,8370
Roger Federer,2006/12/11,8370
Roger Federer,2006/12/04,8370
Roger Federer,2006/11/27,8370
Roger Federer,2006/11/20,8370
Roger Federer,2006/11/13,7620
Roger Federer,2006/11/06,7620
Roger Federer,2006/10/30,8120
Roger Federer,2006/10/23,7870
Roger Federer,2006/10/16,7370
Roger Federer,2006/10/09,7370
Roger Federer,2006/10/02,7120
Roger Federer,2006/09/25,7295
Roger Federer,2006/09/18,7295
Roger Federer,2006/09/11,7295
Roger Federer,2006/08/28,7295
Roger Federer,2006/08/21,7295
Roger Federer,2006/08/14,7760
Roger Federer,2006/08/07,7260
Roger Federer,2006/07/31,7260
Roger Federer,2006/07/24,7260
Roger Federer,2006/07/17,7260
Roger Federer,2006/07/10,7260
Roger Federer,2006/06/26,7260
Roger Federer,2006/06/19,7260
Roger Federer,2006/06/12,7035
Roger Federer,2006/05/29,7010
Roger Federer,2006/05/22,7010
Roger Federer,2006/05/15,7010
Roger Federer,2006/05/08,7160
Roger Federer,2006/05/01,7160
Roger Federer,2006/04/24,7160
Roger Federer,2006/04/17,6810
Roger Federer,2006/04/10,6935
Roger Federer,2006/04/03,6935
Roger Federer,2006/03/20,6935
Roger Federer,2006/03/13,6935
Roger Federer,2006/03/06,6935
Roger Federer,2006/02/27,6725
Roger Federer,2006/02/20,7025
Roger Federer,2006/02/13,7275
Roger Federer,2006/02/06,7275
Roger Federer,2006/01/30,7275
Roger Federer,2006/01/16,6725
Roger Federer,2006/01/09,6725
Roger Federer,2006/01/02,6725
Roger Federer,2005/12/26,6725
Roger Federer,2005/12/19,6725
Roger Federer,2005/12/12,6725
Roger Federer,2005/12/05,6725
Roger Federer,2005/11/28,6725
Roger Federer,2005/11/21,6725
Roger Federer,2005/11/14,6225
Roger Federer,2005/11/07,6225
Roger Federer,2005/10/31,6975
Roger Federer,2005/10/24,6975
Roger Federer,2005/10/17,6975
Roger Federer,2005/10/10,6975
Roger Federer,2005/10/03,6975
Roger Federer,2005/09/26,6975
Roger Federer,2005/09/19,6975
Roger Federer,2005/09/12,6975
Roger Federer,2005/08/29,6975
Roger Federer,2005/08/22,6975
Roger Federer,2005/08/15,6500
Roger Federer,2005/08/08,6500
Roger Federer,2005/08/01,6505
Roger Federer,2005/07/25,6980
Roger Federer,2005/07/18,6980
Roger Federer,2005/07/11,6980
Roger Federer,2005/07/04,6980
Roger Federer,2005/06/20,6980
Roger Federer,2005/06/13,6980
Roger Federer,2005/06/06,6980
Roger Federer,2005/05/23,6605
Roger Federer,2005/05/16,6605
Roger Federer,2005/05/09,6605
Roger Federer,2005/05/02,6640
Roger Federer,2005/04/25,6640
Roger Federer,2005/04/18,6465
Roger Federer,2005/04/11,6515
Roger Federer,2005/04/04,6515
Roger Federer,2005/03/21,6050
Roger Federer,2005/03/07,6050
Roger Federer,2005/02/28,6175
Roger Federer,2005/02/21,6050
Roger Federer,2005/02/14,5975
Roger Federer,2005/02/07,5975
Roger Federer,2005/01/31,5975
Roger Federer,2005/01/17,6525
Roger Federer,2005/01/10,6525
Roger Federer,2004/12/20,6335
Roger Federer,2004/12/13,6335
Roger Federer,2004/12/06,6335
Roger Federer,2004/11/29,6335
Roger Federer,2004/11/22,6335
Roger Federer,2004/11/15,5585
Roger Federer,2004/11/08,5585
Roger Federer,2004/11/01,6360
Roger Federer,2004/10/25,6460
Roger Federer,2004/10/18,6485
Roger Federer,2004/10/11,6685
Roger Federer,2004/10/04,6875
Roger Federer,2004/09/27,6760
Roger Federer,2004/09/20,6760
Roger Federer,2004/09/13,6760
Roger Federer,2004/08/30,5910
Roger Federer,2004/08/23,5910
Roger Federer,2004/08/16,5910
Roger Federer,2004/08/09,5885
Roger Federer,2004/08/02,6105
Roger Federer,2004/07/26,5665
Roger Federer,2004/07/19,5665
Roger Federer,2004/07/12,5665
Roger Federer,2004/07/05,5610
Roger Federer,2004/06/21,5610
Roger Federer,2004/06/14,5610
Roger Federer,2004/06/07,5610
Roger Federer,2004/05/24,5540
Roger Federer,2004/05/17,5540
Roger Federer,2004/05/10,5115
Roger Federer,2004/05/03,5430
Roger Federer,2004/04/26,5545
Roger Federer,2004/04/19,5605
Roger Federer,2004/04/12,5545
Roger Federer,2004/04/05,5545
Roger Federer,2004/03/22,5635
Roger Federer,2004/03/08,5170
Roger Federer,2004/03/01,4930
Roger Federer,2004/02/23,5170
Roger Federer,2004/02/16,5170
Roger Federer,2004/02/09,5225
Roger Federer,2004/02/02,5225
Roger Federer,2004/01/19,4375
Roger Federer,2004/01/12,4375
Roger Federer,2003/12/15,4375
Roger Federer,2003/12/08,4375
Rafael Nadal,2013/12/02,13030
Rafael Nadal,2013/11/25,13030
Rafael Nadal,2013/11/18,13030
Rafael Nadal,2013/11/11,13030
Rafael Nadal,2013/11/04,12030
Rafael Nadal,2013/10/28,11670
Rafael Nadal,2013/10/21,11520
Rafael Nadal,2013/10/14,11520
Rafael Nadal,2013/10/07,11160
Rafael Nadal,2013/09/30,10860
Rafael Nadal,2013/09/23,10860
Rafael Nadal,2013/09/16,10860
Rafael Nadal,2013/09/09,10860
Rafael Nadal,2013/08/26,8860
Rafael Nadal,2013/08/19,8860
Rafael Nadal,2013/08/12,7860
Rafael Nadal,2013/08/05,6860
Rafael Nadal,2013/07/29,6860
Rafael Nadal,2013/07/22,6860
Rafael Nadal,2013/07/15,6860
Rafael Nadal,2013/07/08,6860
Rafael Nadal,2013/06/24,6895
Rafael Nadal,2013/06/17,6895
Rafael Nadal,2013/06/10,6895
Rafael Nadal,2013/05/27,6895
Rafael Nadal,2013/05/20,6895
Rafael Nadal,2013/05/13,6895
Rafael Nadal,2013/05/06,5985
Rafael Nadal,2013/04/29,5985
Rafael Nadal,2013/04/22,5985
Rafael Nadal,2013/04/15,6385
Rafael Nadal,2013/04/08,6385
Rafael Nadal,2013/04/01,6385
Rafael Nadal,2013/03/18,6745
Rafael Nadal,2013/03/04,6105
Rafael Nadal,2013/02/25,5755
Rafael Nadal,2013/02/18,5755
Rafael Nadal,2013/02/11,5550
Rafael Nadal,2013/02/04,5400
Rafael Nadal,2013/01/28,5400
Rafael Nadal,2013/01/14,6600
Rafael Nadal,2013/01/07,6600
Rafael Nadal,2012/12/31,6690
Rafael Nadal,2012/12/24,6690
Rafael Nadal,2012/12/17,6690
Rafael Nadal,2012/12/10,6690
Rafael Nadal,2012/12/03,6690
Rafael Nadal,2012/11/26,6795
Rafael Nadal,2012/11/19,6795
Rafael Nadal,2012/11/12,6795
Rafael Nadal,2012/11/05,6795
Rafael Nadal,2012/10/29,6905
Rafael Nadal,2012/10/22,6995
Rafael Nadal,2012/10/15,6995
Rafael Nadal,2012/10/08,7085
Rafael Nadal,2012/10/01,7385
Rafael Nadal,2012/09/24,7385
Rafael Nadal,2012/09/17,7385
Rafael Nadal,2012/09/10,7515
Rafael Nadal,2012/08/27,8715
Rafael Nadal,2012/08/20,8715
Rafael Nadal,2012/08/13,8895
Rafael Nadal,2012/08/06,8905
Rafael Nadal,2012/07/30,8905
Rafael Nadal,2012/07/23,8905
Rafael Nadal,2012/07/16,8905
Rafael Nadal,2012/07/09,8905
Rafael Nadal,2012/06/25,10060
Rafael Nadal,2012/06/18,10060
Rafael Nadal,2012/06/11,10060
Rafael Nadal,2012/05/28,10060
Rafael Nadal,2012/05/21,10060
Rafael Nadal,2012/05/14,9105
Rafael Nadal,2012/05/07,9615
Rafael Nadal,2012/04/30,10170
Rafael Nadal,2012/04/23,9715
Rafael Nadal,2012/04/16,9215
Rafael Nadal,2012/04/09,9935
Rafael Nadal,2012/04/02,9935
Rafael Nadal,2012/03/19,10175
Rafael Nadal,2012/03/05,10415
Rafael Nadal,2012/02/27,10435
Rafael Nadal,2012/02/20,10435
Rafael Nadal,2012/02/13,10435
Rafael Nadal,2012/02/06,10435
Rafael Nadal,2012/01/30,10435
Rafael Nadal,2012/01/16,9595
Rafael Nadal,2012/01/09,9595
Rafael Nadal,2012/01/02,9595
Rafael Nadal,2011/12/26,9595
Rafael Nadal,2011/12/19,9595
Rafael Nadal,2011/12/12,9595
Rafael Nadal,2011/12/05,9595
Rafael Nadal,2011/11/28,9575
Rafael Nadal,2011/11/21,9375
Rafael Nadal,2011/11/14,9375
Rafael Nadal,2011/11/07,10375
Rafael Nadal,2011/10/31,10375
Rafael Nadal,2011/10/24,10375
Rafael Nadal,2011/10/17,10375
Rafael Nadal,2011/10/10,10375
Rafael Nadal,2011/10/03,10575
Rafael Nadal,2011/09/26,10620
Rafael Nadal,2011/09/19,10620
Rafael Nadal,2011/09/12,10620
Rafael Nadal,2011/08/29,11420
Rafael Nadal,2011/08/22,11420
Rafael Nadal,2011/08/15,11420
Rafael Nadal,2011/08/08,11770
Rafael Nadal,2011/08/01,11270
Rafael Nadal,2011/07/25,11270
Rafael Nadal,2011/07/18,11270
Rafael Nadal,2011/07/11,11270
Rafael Nadal,2011/07/04,11270
Rafael Nadal,2011/06/20,12070
Rafael Nadal,2011/06/13,12070
Rafael Nadal,2011/06/06,12070
Rafael Nadal,2011/05/23,12070
Rafael Nadal,2011/05/16,12070
Rafael Nadal,2011/05/09,12470
Rafael Nadal,2011/05/02,11915
Rafael Nadal,2011/04/25,12870
Rafael Nadal,2011/04/18,12870
Rafael Nadal,2011/04/11,12870
Rafael Nadal,2011/04/04,12870
Rafael Nadal,2011/03/21,12630
Rafael Nadal,2011/03/07,12390
Rafael Nadal,2011/02/28,12390
Rafael Nadal,2011/02/21,12390
Rafael Nadal,2011/02/14,12390
Rafael Nadal,2011/02/07,12390
Rafael Nadal,2011/01/31,12390
Rafael Nadal,2011/01/17,12390
Rafael Nadal,2011/01/10,12390
Rafael Nadal,2011/01/03,12450
Rafael Nadal,2010/12/27,12450
Rafael Nadal,2010/12/20,12450
Rafael Nadal,2010/12/13,12450
Rafael Nadal,2010/12/06,12450
Rafael Nadal,2010/11/29,12450
Rafael Nadal,2010/11/22,11450
Rafael Nadal,2010/11/15,11450
Rafael Nadal,2010/11/08,11810
Rafael Nadal,2010/11/01,11880
Rafael Nadal,2010/10/25,11880
Rafael Nadal,2010/10/18,11880
Rafael Nadal,2010/10/11,12390
Rafael Nadal,2010/10/04,12070
Rafael Nadal,2010/09/27,12025
Rafael Nadal,2010/09/20,12025
Rafael Nadal,2010/09/13,12025
Rafael Nadal,2010/08/30,10745
Rafael Nadal,2010/08/23,10745
Rafael Nadal,2010/08/16,10925
Rafael Nadal,2010/08/09,10745
Rafael Nadal,2010/08/02,10745
Rafael Nadal,2010/07/26,10745
Rafael Nadal,2010/07/19,10745
Rafael Nadal,2010/07/12,10745
Rafael Nadal,2010/07/05,10745
Rafael Nadal,2010/06/21,8745
Rafael Nadal,2010/06/14,8745
Rafael Nadal,2010/06/07,8700
Rafael Nadal,2010/05/24,6880
Rafael Nadal,2010/05/17,6880
Rafael Nadal,2010/05/10,6480
Rafael Nadal,2010/05/03,6480
Rafael Nadal,2010/04/26,6480
Rafael Nadal,2010/04/19,6980
Rafael Nadal,2010/04/12,6980
Rafael Nadal,2010/04/05,6980
Rafael Nadal,2010/03/22,6800
Rafael Nadal,2010/03/08,7440
Rafael Nadal,2010/03/01,7520
Rafael Nadal,2010/02/22,7370
Rafael Nadal,2010/02/15,7370
Rafael Nadal,2010/02/08,7670
Rafael Nadal,2010/02/01,7670
Rafael Nadal,2010/01/18,9310
Rafael Nadal,2010/01/11,9310
Rafael Nadal,2010/01/04,9205
Rafael Nadal,2009/12/28,9205
Rafael Nadal,2009/12/21,9205
Rafael Nadal,2009/12/14,9205
Rafael Nadal,2009/12/07,9205
Rafael Nadal,2009/11/30,9205
Rafael Nadal,2009/11/23,9205
Rafael Nadal,2009/11/16,9205
Rafael Nadal,2009/11/09,8845
Rafael Nadal,2009/11/02,8845
Rafael Nadal,2009/10/26,9095
Rafael Nadal,2009/10/19,9095
Rafael Nadal,2009/10/12,8945
Rafael Nadal,2009/10/05,8845
Rafael Nadal,2009/09/28,8845
Rafael Nadal,2009/09/21,8845
Rafael Nadal,2009/09/14,8845
Rafael Nadal,2009/08/31,9025
Rafael Nadal,2009/08/24,9025
Rafael Nadal,2009/08/17,8665
Rafael Nadal,2009/08/10,9285
Rafael Nadal,2009/08/03,9285
Rafael Nadal,2009/07/27,9735
Rafael Nadal,2009/07/20,10735
